Word,Sentences
Bark,The dog's bark startled me. The rough bark of the tree scratched my hand. He used a piece of bark to start the fire. The ship's captain gave a stern bark of command. The explorer followed the bark of the squirrel to find its nest. The bark of the medicine helped soothe her sore throat. The dog's loud bark alerted the neighbors. The boat was made from the bark of a tree. The artist used the texture of bark in his painting. The politician's passionate speech was full of bark but lacked substance.
Bat,The bat flew silently in the night. He hit a home run with his baseball bat. The vampire turned into a bat and flew away. She used a bat to swat at the insects. The cave was home to a colony of bats. He used a cricket bat to play the sport. The cricket bat was signed by a famous player. The loud noise made her bat her eyelashes. The ball ricocheted off the bat and into the field. The superhero's utility belt had a bat-shaped symbol.
Bank,She deposited her savings in the bank. The river bank was covered in wildflowers. He worked at a bank as a teller. The children built a sandcastle on the river bank. The airplane banked sharply to the left. The ship banked to avoid the iceberg. The snow piled up on the bank of the road. The skier executed a perfect banked turn. The bank of clouds signaled an incoming storm. The bank of fog obscured visibility on the road.
Bowl,She ate cereal from a bowl for breakfast. The football team won the championship bowl. The cat knocked over the bowl of water. He bowled a strike in the last frame. The chef prepared a delicious bowl of soup. The bowl of fruit looked appetizing. The stadium was filled for the college bowl game. The athlete practiced his bowling technique. The dog drank water from the bowl. The bowl of rice was flavored with spices.
Bridge,The old stone bridge crossed the river. He used playing cards to build a bridge. The engineer designed a sturdy bridge. The jazz band played a song on the bridge. The diplomat worked to bridge the gap between the two nations. The dentist recommended a dental bridge for the missing tooth. The pilot noticed a crack in the bridge of the airplane. The ship sailed under the bridge's arch. The bridge connected the two islands. The architect constructed a futuristic bridge design.
Brush,She used a brush to paint a beautiful landscape. He brushed his hair before going out. The artist used a brush to create intricate details. The dog's fur was matted, so he needed a good brush. He brushed away the crumbs from the table. The horse's coat gleamed after a thorough brushing. The painter selected a wide brush for the background. She brushed her teeth before bed. The politician tried to brush off the allegations. The sculptor used a brush to apply the finishing touches.
Chair,She sat down in the comfortable chair. The chair had intricate carvings on the backrest. He chaired the meeting and kept things organized. The professor's empty chair indicated his absence. The orchestra performed a musical chair routine. The chairperson introduced the guest speaker. The chair wobbled, so he fixed it with a wrench. The beach chair was perfect for sunbathing. The chairman led the company through a successful merger. The chairlift carried skiers up the mountain.
Date,She had a romantic dinner date with her partner. The date on the letter was from last week. The ancient artifact was difficult to date accurately. He asked her out on a date to the movies. The fruit on the palm tree was ripe for picking. The couple reminisced about their first date. The date for the event was set for next month. She wrote the date in her journal. The archaeologist attempted to date the fossils. The calendar showed today's date.
Fan,She used a fan to cool down in the heat. He's a big fan of science fiction novels. The audience gave the performer a standing ovation with loud cheers and fan applause. He's a dedicated fan of the basketball team. The windmill's blades spun like a fan. The fan in the computer kept it from overheating. She used a fan brush to apply makeup. The celebrity took time to sign autographs for his fans. The fan of the movie series attended the premiere. The fan of the play praised the actors' performances.
Foot,She injured her foot while hiking. The ruler was one foot long. The foot of the mountain was covered in wildflowers. He walked barefoot on the sandy beach. The rhythmic beat of the music made her tap her foot. The soldier marched in perfect footstep. The horse's footprints were imprinted in the mud. The poem had a unique meter of stressed and unstressed syllables in each foot. The distance was measured in miles per foot. The architectural style was inspired by ancient Greek foot measurements.
