English,Spanish
Actual,Actual
Parent,Pariente
Library,Librería
Pretend,Pretender
Sympathy,Simpatía
Embarrassed,Embarazada
Carpet,Carpeta
Fabricate,Fabricar
Actualize,Actualizar
Sensation,Sensación
Mayor,Mayor
Excited,Excitado
Intoxicated,Intoxicado
Fabrication,Fabricación
Casual,Casual
Resume,Resumir
Familiar,Familiar
Pretend,Pretender
Sensible,Sensible
College,Colegio
Education,Educación
Introduce,Introducir
Deception,Decepción
Artist,Artista
Accident,Accidente
Parental,Parental
Editor,Editor
Eventually,Eventualmente


